temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
1.7,-1.6,-1.2,80.93,0.0,0,18.4,11.5,273,1023.2,0.9,11.6,48,0.2
2.9,-0.3,-1.1,75.0,0.0,0,16.6,12.1,290,1023.9,24.5,13.4,182,0.7
3.8,1.4,-0.7,72.37,0.0,0,16.6,9.6,301,1024.3,24.5,14.2,400,1.4
4.0,2.7,-0.6,72.0,0.0,0,14.8,5.5,255,1025.1,0.9,16.0,576,2.1
5.1,2.0,-1.6,62.3,0.0,0,11.2,13.8,271,1025.4,1.6,16.0,670,2.4
6.1,5.4,-1.5,57.99,0.0,0,9.4,5.1,295,1025.4,1.6,15.9,708,2.5
6.8,4.3,-2.7,51.1,0.0,0,7.6,12.6,249,1025.1,1.6,16.0,669,2.4
6.8,4.7,-2.8,50.59,0.0,0,5.4,10.8,263,1025.2,1.6,16.0,554,2.0
7.3,5.8,-3.1,47.62,0.0,0,5.4,8.2,249,1025.1,1.6,16.0,399,1.4
6.8,6.0,-2.7,50.53,0.0,0,5.4,5.4,248,1024.8,1.6,16.0,228,0.8
7.9,7.9,-3.4,44.72,0.0,0,7.6,4.8,28,1024.6,0.9,16.0,56,0.2
3.9,3.9,-2.9,61.1,0.0,0,7.6,4.6,102,1025.1,0.9,16.0,9,0.0
1.0,1.0,-3.7,70.83,0.0,0,7.6,0.8,22,1025.3,0.9,16.0,0,0.0
0.3,0.3,-3.7,74.42,0.0,0,9.4,0.2,7,1025.2,0.9,16.0,0,0.0
1.3,-0.7,-2.7,74.71,0.0,0,11.2,6.5,101,1025.3,2.9,15.9,0,0.0
2.2,-1.3,-1.6,75.76,0.0,0,13.0,12.8,101,1024.1,29.6,15.9,0,0.0
2.2,-0.6,-1.2,78.18,0.0,0,14.8,9.8,82,1023.5,2.9,13.3,0,0.0
2.2,-0.1,-1.1,78.5,0.0,0,16.6,8.1,65,1024.0,84.7,13.0,0,0.0
2.2,-0.9,-1.1,78.5,0.0,0,18.4,11.0,353,1026.0,100.0,12.9,0,0.0
2.2,-0.7,-1.1,78.81,0.0,0,18.4,9.8,95,1024.7,98.8,10.1,0,0.0
2.2,-2.2,-1.1,78.5,0.0,0,25.9,18.1,90,1022.2,100.0,8.8,0,0.0
2.3,-0.5,-1.2,77.69,0.0,0,29.5,9.7,105,1023.0,100.0,14.2,0,0.0
0.7,-3.2,-1.1,87.23,1.339,100,31.3,13.4,119,1022.9,100.0,2.2,0,0.0
0.7,-3.7,-1.1,87.28,0.57,100,35.3,16.0,106,1022.1,100.0,6.4,0,0.0
1.2,-3.9,-1.1,84.16,0.044,100,33.5,22.0,100,1020.1,100.0,8.4,18,0.1
2.3,-2.7,-1.6,75.37,0.0,0,31.7,23.0,109,1019.7,90.3,14.2,154,0.6
3.4,-0.4,-1.6,69.77,0.0,0,39.1,16.0,99,1018.7,56.0,16.0,281,1.0
5.0,0.9,-2.0,60.81,0.0,0,40.7,20.8,106,1017.4,3.2,16.0,519,1.9
5.7,1.8,-1.1,61.64,0.0,0,33.7,21.4,73,1016.5,3.2,16.0,464,1.7
5.7,2.6,-1.2,61.55,0.0,0,31.7,15.2,73,1015.4,56.0,16.0,171,0.6
3.9,-0.1,-0.7,72.2,0.363,100,33.5,17.8,61,1014.3,100.0,7.0,91,0.3
2.9,-1.0,0.0,81.23,2.864,100,29.5,15.5,52,1014.3,100.0,6.2,49,0.2
1.9,-2.1,-0.1,86.97,2.533,100,31.7,15.2,89,1014.1,100.0,4.2,47,0.2
1.7,-1.8,-0.1,88.04,2.091,100,37.1,12.4,90,1014.1,100.0,4.1,22,0.1
1.2,-3.1,-0.6,87.53,1.232,100,28.0,16.3,40,1013.9,100.0,9.9,12,0.0
1.2,-3.5,-0.6,87.56,0.0,0,27.7,18.9,40,1015.1,100.0,8.2,2,0.0
1.2,-3.3,-0.6,87.56,0.0,0,27.7,17.7,50,1015.6,100.0,11.4,0,0.0
