temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2.9,1.3,1.7,91.86,0.0,0,8.3,5.8,245,1011.6,99.6,7.6,1,0.0,0
0.4,0.4,-0.8,91.57,0.0,0,6.1,1.0,322,1011.3,0.8,2.4,37,0.1,0
3.7,2.5,2.4,91.21,0.0,0,6.1,5.4,214,1011.7,1.6,5.0,174,0.6,2
7.3,7.3,2.9,73.69,0.0,0,2.5,4.8,350,1011.8,1.6,11.0,309,1.1,3
9.0,9.0,2.3,63.07,0.0,0,7.2,4.8,18,1011.6,2.9,14.1,516,1.9,5
10.2,10.2,2.9,60.42,0.0,0,6.1,8.6,67,1010.5,2.9,16.0,706,2.5,7
12.3,12.3,3.3,54.19,0.0,0,10.4,5.5,100,1009.7,2.9,16.0,786,2.8,8
13.0,13.0,3.8,53.62,0.0,0,14.0,5.8,130,1009.8,0.9,15.8,766,2.8,8
13.4,13.4,3.0,49.33,0.0,0,16.6,13.4,139,1009.0,2.9,15.9,695,2.5,7
13.8,13.8,5.1,55.45,0.0,0,17.3,12.3,120,1007.9,2.9,15.4,578,2.1,6
12.4,12.4,5.6,63.34,0.0,0,21.2,20.5,144,1007.2,2.9,11.1,429,1.5,4
11.9,11.9,4.6,60.67,0.0,0,15.5,16.3,128,1007.7,2.9,11.2,282,1.0,3
11.4,11.4,5.1,65.31,0.0,0,19.1,9.8,109,1007.0,2.9,14.0,103,0.4,1
10.8,10.8,5.7,70.76,0.0,0,21.2,11.5,77,1006.3,3.2,12.9,20,0.1,0
10.1,10.1,5.7,73.98,0.0,0,30.6,11.2,90,1006.3,3.2,12.9,0,0.0,0
9.5,8.1,5.1,73.91,0.0,0,22.3,9.8,106,1006.7,3.2,11.1,0,0.0,0
8.5,6.8,4.4,75.83,0.0,0,13.3,10.1,109,1006.3,2.9,11.3,0,0.0,0
8.5,6.6,4.5,75.84,0.0,0,19.1,11.4,107,1005.4,100.0,11.3,0,0.0,0
8.5,6.8,4.4,75.45,0.0,0,25.9,10.2,106,1005.4,91.9,14.2,0,0.0,0
8.6,6.7,3.9,72.61,0.0,0,27.4,11.2,105,1005.0,100.0,15.9,0,0.0,0
8.0,5.8,3.4,72.56,0.0,0,29.2,12.9,98,1004.2,100.0,16.0,0,0.0,0
8.0,6.7,3.5,73.22,0.0,0,17.6,7.8,126,1004.1,100.0,16.0,0,0.0,0
8.0,7.5,4.0,75.5,0.0,0,16.2,5.2,134,1004.3,100.0,16.0,0,0.0,0
8.1,6.8,4.5,78.11,0.0,0,23.4,7.8,163,1003.9,100.0,14.3,0,0.0,0
8.0,6.4,5.7,85.25,0.0,0,24.8,9.4,162,1003.8,100.0,10.4,0,0.0,0
7.4,5.0,6.1,91.87,0.0,0,30.6,12.8,180,1004.6,100.0,1.8,8,0.0,0
7.9,5.9,7.0,94.19,0.0,0,27.0,11.4,136,1003.2,100.0,0.3,44,0.2,0
8.0,5.5,7.1,94.25,0.0,0,26.3,15.0,174,1002.5,100.0,1.6,116,0.4,1
8.5,6.0,7.8,95.4,0.0,0,37.1,15.6,178,1003.6,100.0,1.0,49,0.2,0
